User_Name,Location,Tweets
Subham172003,,"RT @swati_gs: Exactly a year ago, a distressed Susheel, who had recently changed his religion and name from Saleem, sent me a Whatsapp vide…"
3787Nina,"Corpus Christi, TX","Second officer from Capitol riot dies by suicide, police chief says https://t.co/X1hBDLXZST via @nbcnews"
hoffmenjack, India,"RT @swati_gs: Exactly a year ago, a distressed Susheel, who had recently changed his religion and name from Saleem, sent me a Whatsapp vide…"
GaiasGigas,"North Carolina, USA","RT @ImFeanix: National Domestic Violence Hotline 1-800-799-SAFE

National Sexual Assault Hotline 1-800-656-HOPE (4673)

Girls and Boys Town…"
softhrseokmin,seokie's and nana's heart,@JAESTR0PHILE she fake her suicide attempt
Lalitha82,Bangalore,"RT @swati_gs: Exactly a year ago, a distressed Susheel, who had recently changed his religion and name from Saleem, sent me a Whatsapp vide…"
WokeWomenResist,"Illinois, USA",RT @AnnaDuleep: @LindaWesson I wonder if it was the utter betrayal by their fellow officers or supervisors who failed to have their back de…
sdulal18,,"People do not die from suicide, they die from sadness...💔
And I'm the one of them.🙂"
compcontrolled1,,@mrflitcher @BurningT_ How can I suicide bomb with Bowser or Ganondorf if I'm a stock behind?
waffashmsdn,daisuke house,"RT @bellamelodys: ""your parents is the reason why you're here"" yea and they also the reason why i tried to commit suicide 😄"
Abhishe50965999,,"RT @oishi_saarker: There is so much evidence in Sushant's murder that the fabricated Suicide story itself has died :3 

CBI Decode SSR Murd…"
Nature12311,,"RT @PreetiK38397033: We are so lost in thinking about winning, losing, success, failure. We have forgotten to living life. The most importa…"
msbellejones,,Folkestone Napier barracks sounds like hell on Earth. Overcrowded inhumane covid hotbed where several asylum seeker… https://t.co/R7Xn5QVmVr
Voktak,,"RT @Cleavon_MD: ""This was not a demonstration. This was not a failure to plan for a demonstration. This was a planned, coordinated attack o…"
stargate553,,"RT @AOC: While you conveniently talk about “moving on,” a second Capitol police officer lost their life yesterday in the still-raging after…"
ShilpiA08410639,India,"RT @PreetiK38397033: We are so lost in thinking about winning, losing, success, failure. We have forgotten to living life. The most importa…"
dopehousedisco,West Side,Ive been out of the @USMC for almost 6 years &amp; I have lost 6 buddies of mine to suicide...1 every year...WHY DOES THIS KEEP HAPPENING!!!!
John76327723,,"RT @elizableu: Stay Alive! If you are having thoughts of suicide please reach out for help. Call @800273TALK 

Interview with @AdamCrigler…"
StephenVO9,"Central New Jersey, USA","RT @LRPow79: In the Capitol #insurrection:
🚓140 Police Officers injured
🚓2 Have committed suicide
🚓1 was beaten to death
Blue Lives don’t r…"
desai_ronnie,Mumbai,"RT @MailarigoudaPa2: #savegujaratnre 
@PMOIndia 
Our government has allowed all citizens to live in self-respect under the campaign of Atma…"
Kina95694987,,"RT @finefrenzee: @Americanist4u @LindaWesson Sicknick was a trumper.

1st suicide, Liebengood’s (?), father had ties to Manafort. The offic…"
JLangWood,"Florida, USA","RT @nytpolitics: American airstrikes in a joint mission with Iraqi forces have killed the top Islamic State leader in Iraq, an attack aimed…"
Abhishe50965999,,"RT @12_hiral: Why all mysterious deaths are taken to cooper and declared a suicide? 
CBI Decode SSR Murder"
sinemetuvivere,,"RT @FrudBezhan: Taliban's weaponized drones can have a significant impact on battlefield in #Afghanistan, says @N_Waters89 

TB can target…"
papap2004,,"tw!!suicide

ok i just read a comment that seventeen's if i might possibly be about when someone you love (romantic… https://t.co/POHRfXHj2j"
dermotfitzp,,@kev_kelly1 @noel_mcglynn @rtenews You insinuate increased suicide rates  due to lockdowns and then highlight that… https://t.co/mzh3vrl7rS
FacelessManTwit,,@seadog_sg @GordonGChang Europe was able to form NATO because they just came out of WW2 and the political will to s… https://t.co/pO3n6tF1DV
kpeeyush5,New Delhi ,@Sukh74035284 @Hrishab56256443 @prophtofcartoon @ramandeep0907 @JhaDurgakant @aartic02 Yes for these things .. for… https://t.co/8bfZ1Jb980
ShilpiA08410639,India,"RT @PiyaliBh: So, CBI When you are planning to come with your next statement from “probing all angle” to eliminating Suicide angle? It’s be…"
JKMDelaware,"Wilmington, Delaware","RT @nytpolitics: American airstrikes in a joint mission with Iraqi forces have killed the top Islamic State leader in Iraq, an attack aimed…"
Radiodonta,🏴󠁧󠁢󠁷󠁬󠁳󠁿🇬🇧,@GroovesLunar @Fetusberry earleir i got my account locked because i said i want to euthanise people who drive other… https://t.co/dVs2oEP0sc
swapna31639281,"Hyderabad, India","RT @PriyaSh78692980: Dear  Suicide belevers
  Just look at this nd Say can a Science Lover or a Dream Lover can  do anything wrong or teach…"
Durgesh886,"Gujarat, India",RT @MansiS2104: Who is the mastermind of suicide theory?? @ips_nupurprasad  CBI Decode SSR Murder
xAbbieCx,She/Her,"RT @jackbenedwards: not zoella's BOOK being dropped by schools because her BLOG spoke about self-pleasure?

of mice and men: themes of murd…"
fkkouttahere,Hell,"At 22, my suicide attempts failed, just like everything else in my life 😫 https://t.co/uaRDbeMPAv"
tbmurphski,Sunshine State,@fake_biden @LindaWesson The officers who committed suicide?
DonnaK69363662,"Monroe, CT","RT @askjillian: Just woke thinking about the officer that was murdered Jan 6, &amp; 5 others permanently damaged by brain injuries, one lost an…"
viking2086,"Oslo, Norway",@___SKELETONS___ @whispers_finest Says a Japanese guy who lives in a country with one of the highest suicide rates in the world.
LadySarcoidosis,Ireland,https://t.co/A3j4yuBzfX go here to complete some awareness training around suicide. Some good basics. https://t.co/hgnkHOOIj2
jasonmurphy4,UK ,"@Josh_Burgs @ImAntoMMA @SugaSeanMMA Since 2006 bro! But 24/12/05 i sat in a cell contemplating suicide, and I’m a s… https://t.co/nWZ8fjJA7O"
karuppiahmankud,,"RT @grandoldmanofTN: @denaturalizedT They did not reach that stage yet.

To rewrite Bapuji's Assassination case as suicide in history books"
PCamhs,"Wales, United Kingdom",RT @CharlieWallerUK: Suicide is an issue that we must talk about and the pandemic has made this more important. At Charlie Waller we suppor…
suicidalmf_,,@brentfayiazshoe are you suicide cuz i think of you everyday
KhusminderSidhu,"Melbourne, Victoria","RT @oishi_saarker: There is so much evidence in Sushant's murder that the fabricated Suicide story itself has died :3 

CBI Decode SSR Murd…"
MatteoPugliese,,"2/4 Gianluca Casseri was an activist of the neofascist group CasaPound, he was involved in Holocaust denial propaga… https://t.co/hhzkqSIKhm"
YuvikaJain6, Earth,"RT @ApurvaU21: Many are trying make money off SSR! Sháme. Specially the so called ""YouTubers"".

Be Careful of those who Change their Narrat…"
RicoHalofan,"California, USA","RT @askjillian: Just woke thinking about the officer that was murdered Jan 6, &amp; 5 others permanently damaged by brain injuries, one lost an…"
NobleKing_,,RT @Tsholo_Blacki: I knew this was a scam the minute someone committed suicide and they declared it as Covid. Go to the hospital when you a…
SlickTrick14,"Salford, England","RT @RespectIsVital: Priti Patel ignoring the reality of #NapierBarracks

 • 34 people to a shower
• Rat infested
• Asbestos ridden
• 20+ to…"
SeanFionn,"Aerbus, ","RT @BondHack: ""This week, Mr Black faced a public reckoning over his relationship with another man who committed suicide while awaiting jus…"
Bebeanino,,"Suicide will never be an option. NEVER. If this word passes on your mind, say sorry to God because you once thought… https://t.co/X5C5lqecRl"
mmwangiJ,"Nairobi, Kenya",@HarunMaruf suicide bombers 😎
NewsJunkie62,,"RT @AOC: While you conveniently talk about “moving on,” a second Capitol police officer lost their life yesterday in the still-raging after…"
Rphiggins1,SouthBostonMass,"RT @drrickbarnett: Inconvenient truth: the more attention and pressure we place on opioid overdose risk mitigation strategies, the more peo…"
AdiGulshan,,"RT @oishi_saarker: There is so much evidence in Sushant's murder that the fabricated Suicide story itself has died :3 

CBI Decode SSR Murd…"
jennyz_zayn,India,RT @MansiS2104: Who is the mastermind of suicide theory?? @ips_nupurprasad  CBI Decode SSR Murder
FAGFinance,,"Wow a $link suicide stack costs $220,000 to accumulate.  Crazy how far we've come."
HIMANSH1920evil,India,"RT @swati_gs: Exactly a year ago, a distressed Susheel, who had recently changed his religion and name from Saleem, sent me a Whatsapp vide…"
anthonypovey,"Stoke-on-Trent, England",@piersmorgan please point how many deaths we have to suicide in this lockdown people cant cope anymore theres been 2 more in stoke today
Wubisha,Endangered Planet,"RT @nytpolitics: American airstrikes in a joint mission with Iraqi forces have killed the top Islamic State leader in Iraq, an attack aimed…"
namesake_123,"Mumbai, India","RT @swati_gs: Exactly a year ago, a distressed Susheel, who had recently changed his religion and name from Saleem, sent me a Whatsapp vide…"
Courtn_Omealley,,"RT @NYUMcSilver: In @Surgeon_General’s 'Call to Action to Implement the National Strategy for #SuicidePrevention,' @DrMikeLindsey of McSilv…"
gc73aap,,RT @RachakondaCop: On receipt of information @BibinagarPS #PatrollingStaff Sri. Saidul PCO &amp; Naresh HGO #rescued a person who made an attem…
kaushal_veenu,India,RT @MansiS2104: Who is the mastermind of suicide theory?? @ips_nupurprasad  CBI Decode SSR Murder
mynlcorner,The Shoe,This week I want to share what it's like to expect when texting the suicide prevention text line open 5:30 PM - 1:3… https://t.co/MJhsrTZ3dR
FlowersMathis,,"RT @NBCNews: A second police officer who defended the U.S. Capitol during the mob attack on Jan. 6 has died by suicide, acting chief of the…"
JoeBreenRBI,"Foxboro, MA","“Do-or-Die” Suicide Squeeze PFP’s
#drilloftheday @GBG_Hawks 

Video shows the “glove only” portion of the progressi… https://t.co/CDZS7AFBBO"
DiannaBurdick,"Ventura, CA","RT @sfpelosi: Its been 22 days since Trump’s deadly sedition mob and I hope all the Capitol lawmakers, staff, press, security, and support…"
HimanilP,,"RT @swati_gs: Exactly a year ago, a distressed Susheel, who had recently changed his religion and name from Saleem, sent me a Whatsapp vide…"
Alieeez12,United States,"RT @askjillian: Just woke thinking about the officer that was murdered Jan 6, &amp; 5 others permanently damaged by brain injuries, one lost an…"
chatbrat11,"Riverside, RI ",RT @Anootchka: @LindaWesson @kcookie818 Probably because they/their families were threatened by the Trump regime. They either had to do som…
moonlight16_x,she / her      ,@GoogButViking @crybabyminx @KHADAxJHIN apologize to the Internet. I want to apologize to anyone who's seen the vid… https://t.co/LpMK3KHc9q
Imperial4life,Depts of Hell,"RT @estefy_sugar: I did another animation of the manhwa ""Suicide boy"" because i can 😎✨

@ch960116 i hope you enjoy it, i been practicing :D…"
jai_hind41,New Delhi,"RT @swati_gs: Exactly a year ago, a distressed Susheel, who had recently changed his religion and name from Saleem, sent me a Whatsapp vide…"
Deshbha50649756,,"RT @12_hiral: The distance between the bed and fan was not enough for him to hang. Then how was it declared a suicide?

CBI Decode SSR Murd…"
PNMaster_,"Randfontein, South Africa",RT @Tsholo_Blacki: I knew this was a scam the minute someone committed suicide and they declared it as Covid. Go to the hospital when you a…
Pinky08448937,,"RT @SShambari: To all PR trying to divert the case of Justice for SSR and trying to establish suicide theory again:
We SSRians will ignore…"
DarrenFranklin,Ireland,RT @shaney_bo123: I just completed the @ohanazero suicide awareness training course. Take half hour out of your day and do the same. Provid…
jinoswuju,,"tw // death , suicide , oct 14

i miss sulli i miss sulli i miss sulli i miss her so much it hurts it just doesn't… https://t.co/hgdHW0p8G4"
sarthhakkk9,,"RT @PreetiK38397033: We are so lost in thinking about winning, losing, success, failure. We have forgotten to living life. The most importa…"
GurdeepCheema15,"Sangrur, Punjab ","RT @Rajnees28670483: @officialmsgfans @Gurmeetramrahim #SecretOfHappyLiving
Happiness Mantra By practicing meditation, millions of @derasac…"
chatbrat11,"Riverside, RI ","RT @dbiggs0001: @LindaWesson 1) PTSD/Depression- short or long-term; 2) Survivor's Guilt; 3) ""Suicided""; 4) Suicide vs Exposure/Guilt/Collu…"
Tashi16732351,,"RT @PreetiK38397033: We are so lost in thinking about winning, losing, success, failure. We have forgotten to living life. The most importa…"
Skwalk4,,"RT @SansthaTrust: @PMOIndia @narendramodi 
#JusticeforAllDSKFraudVictims

Appeal for Govt. intervention in Rs 2091 Cr fraud case by DSKulka…"
Skwalk4,,"RT @SansthaTrust: @rashtrapatibhvn 
#JusticeforAllDSKFraudVictims

Appeal for Govt. intervention in Rs 2091 Cr fraud case by DSKulkarni.

M…"
diyasaha905,,"RT @oishi_saarker: There is so much evidence in Sushant's murder that the fabricated Suicide story itself has died :3 

CBI Decode SSR Murd…"
velofan1,,"RT @Cleavon_MD: ""This was not a demonstration. This was not a failure to plan for a demonstration. This was a planned, coordinated attack o…"
diyasaha905,,"RT @Kumardip10: Multiple choice for Cbi and @ips_nupurprasad
Ques) If its a suicide then who bought Sushant's body down?
A) Meme police.
B)…"
lowell108,,"Seems to me it would be a powerful reason for suicide if -- in your role as a LEO, you participated in the attempte… https://t.co/2aiJoKHmQd"
baishalimajumd5,India,"RT @ShikhaC95: After 13-14th june~ Why suddenly every bullyweedians became suicide specialist?

CBI Decode SSR Murder"
Skwalk4,,"RT @SansthaTrust: @rsprasad 
#JusticeforAllDSKFraudVictims

Appeal for Govt. intervention in Rs 2091 Cr fraud case by DSKulkarni.

More tha…"
Sarthak50599594,,"RT @swati_gs: Exactly a year ago, a distressed Susheel, who had recently changed his religion and name from Saleem, sent me a Whatsapp vide…"
psharmaaz,United States of America 🇺🇸 ,RT @MansiS2104: Who is the mastermind of suicide theory?? @ips_nupurprasad  CBI Decode SSR Murder
Skwalk4,,"RT @SansthaTrust: @AmitShah @AmitShahOffice 
#JusticeforAllDSKFraudVictims

Appeal for Govt. intervention in Rs 2091 Cr fraud case by DSKul…"
Skwalk4,,"RT @SansthaTrust: @nsitharaman @FinMinIndia 
#JusticeforAllDSKFraudVictims

Appeal for Govt. intervention in Rs 2091 Cr fraud case by DSKul…"
diyasaha905,,"RT @PreetiK38397033: We are so lost in thinking about winning, losing, success, failure. We have forgotten to living life. The most importa…"
rajesh_mawaliya,,"RT @swati_gs: Exactly a year ago, a distressed Susheel, who had recently changed his religion and name from Saleem, sent me a Whatsapp vide…"
Skwalk4,,"RT @SansthaTrust: @Swamy39 
#JusticeforAllDSKFraudVictims

Appeal for Govt. intervention in Rs 2091 Cr fraud case by DSKulkarni.

More than…"
AuthorMcardle,Planet Earth...Where else?,"FACT: Monetary backers create and control the politician. Worldwide ""the people"" are protesting...hmmm, something i… https://t.co/baQGAlXk2e"
shruti67323981,,"RT @its_AkRaj: Now this pile of Sh*t is saying Sushant committed suicide and saying all SSR fans are fake !!

How she fulfilled her propaga…"
RD54799715,"रायपुर, भारत","RT @itsmekkd05: No suicide note
No froth from mouth
No eyes protruded 
No tongue popping out
With no circumstantial evidence of su!cde how…"
Harvard2H,"Maryland, USA","RT @New_Narrative: Second officer from Capitol riot dies by suicide, police chief says

 https://t.co/kNl1u2MgGd"
anchitworld,Toronto,"RT @swati_gs: Exactly a year ago, a distressed Susheel, who had recently changed his religion and name from Saleem, sent me a Whatsapp vide…"
Skwalk4,,"RT @SansthaTrust: @maha_governor @BSKoshyari 
#JusticeforAllDSKFraudVictims

Appeal for Govt. intervention in Rs 2091 Cr fraud case by DSKu…"
bjntweets,The tri-state area,"RT @JohnnySobczak: Wait, what the hell? Why haven’t I seen anyone talk about this?🤣

Seems THE SUICIDE SQUAD was shot entirely in IMAX and…"
nytpolitics,Washington Bureau,"American airstrikes in a joint mission with Iraqi forces have killed the top Islamic State leader in Iraq, an attac… https://t.co/NWCkyOHoor"
Skwalk4,,"RT @SansthaTrust: @OfficeofUT @CMOMaharashtra 
#JusticeforAllDSKFraudVictims

Appeal for Govt. intervention in Rs 2091 Cr fraud case by DSK…"
CoastSafe_DandC,Devon & Cornwall,"RT @MerseyPolice: “In 2019 we were called to help a woman in the River Mersey. With no exact location, it took 20 mins to find her! This is…"
bryndisg75,"Ísafjörður, Iceland","Then s$%t happened! After a few months of leave, I was able to transfer to the University of Iceland, keeping my NZ… https://t.co/YQ2CkqpN1R"
wahinewaz,"Uppsala, Sverige",@samisdaal Even going outside to throw the trashes is a suicide mission😭
ajayraiwal,,"RT @swati_gs: Exactly a year ago, a distressed Susheel, who had recently changed his religion and name from Saleem, sent me a Whatsapp vide…"
Skwalk4,,"RT @SansthaTrust: @ishkarnBHANDARI @Shehzad_Ind 
#JusticeforAllDSKFraudVictims

Appeal for Govt. intervention in Rs 2091 Cr fraud case by D…"
jeffcodad,,"RT @LRPow79: In the Capitol #insurrection:
🚓140 Police Officers injured
🚓2 Have committed suicide
🚓1 was beaten to death
Blue Lives don’t r…"
carausius_rex,Home Front,@churchill_alex Whilst looking at the WW1 #CWGC graves in Colchester I saw this. I took a photo to read into what h… https://t.co/2xmQUIApwC
quiz0032,,"RT @S_U_works: 1/1 Bust
Suicide Squad Harley Quinn
Infinity studio https://t.co/BQ7Dt7fgk8"
fighter_pro3,Antarctica ,"RT @its_AkRaj: @VijayShekhar9 Chacha 

Many are unknown to him ,He is the one who was going to make movie on Sushant Titled Suicide or Murd…"
Skwalk4,,"RT @SansthaTrust: @JPNadda @sambitswaraj 
#JusticeforAllDSKFraudVictims

Appeal for Govt. intervention in Rs 2091 Cr fraud case by DSKulkar…"
daytonflyer2009,,Cardinal fans are on cloud nine and Reds and Cubs fans are on suicide watch 😢
GurdeepCheema15,"Sangrur, Punjab ","RT @Laddo777MSG: Happiness Mantra By practicing meditation, millions of @derasachasauda volunteers live life full of positivity and can kee…"
vanDerBlije,,"RT @KarenPence: If you or someone you know is thinking about suicide, call 1-800-273-8255 and press 1 if you're a #Veteran or live chat @80…"
Skwalk4,,"RT @SansthaTrust: @PrakashJavdekar @Dev_Fadnavis 
#JusticeforAllDSKFraudVictims

Appeal for Govt. intervention in Rs 2091 Cr fraud case by…"
bot_semicolon,,Somebody's co-worker is attending their best friend 's funeral as a result of suicide.
Skwalk4,,"RT @SansthaTrust: @RahulGandhi @rssurjewala 
#JusticeforAllDSKFraudVictims

Appeal for Govt. intervention in Rs 2091 Cr fraud case by DSKul…"
MercyHimself,dubai･:*:･°♡,@Sweatity suicide.
EvaNishat,"Dhaka, Bangladesh","RT @snehalssrfan: Where is:
 -juice glass?
-suicide note?
-Tensile strength report of green   cloth?
-knife used to cut that green cloth?
-…"
Skwalk4,,"RT @SansthaTrust: @DrMohanBhagwat 
#JusticeforAllDSKFraudVictims

Appeal for Govt. intervention in Rs 2091 Cr fraud case by DSKulkarni.

Mo…"
mksharma4269,India,"RT @swati_gs: Exactly a year ago, a distressed Susheel, who had recently changed his religion and name from Saleem, sent me a Whatsapp vide…"
RoyalBleuu,Gae-Ga-Pheladi Le Mphele,"RT @ThabangMantutle: I think we can all agree that moving from Mamelodi Sundowns was career suicide for these three. 

They literally left…"
Skwalk4,,"RT @SansthaTrust: @zee24taasnews @ZeeNews 
#JusticeforAllDSKFraudVictims

Appeal for Govt. intervention in Rs 2091 Cr fraud case by DSKulka…"
Skwalk4,,"RT @SansthaTrust: @abpmajhatv @ABPNews 
#JusticeforAllDSKFraudVictims

Appeal for Govt. intervention in Rs 2091 Cr fraud case by DSKulkarni…"
FishyOne5,"Vancouver, Washington USA","RT @FishyOne5: 🌞THINK ABOUT THIS TODAY🌞        

  22 VETERANS COMMIT SUICIDE
                   EVERYDAY

🌅WOULD AT LEAST 22 FRIENDS 🌅…"
nahlapapillon,,RT @therealchucko: Please pray for my daughter who is currently on suicide watch at the hospital.
Skwalk4,,"RT @SansthaTrust: @ibn_lokmat @MiLOKMAT 
#JusticeforAllDSKFraudVictims

Appeal for Govt. intervention in Rs 2091 Cr fraud case by DSKulkarn…"
kakavishalji,Bharatvarsha,"RT @swati_gs: Exactly a year ago, a distressed Susheel, who had recently changed his religion and name from Saleem, sent me a Whatsapp vide…"
deepak49247564,,we give 30% tax to governmentand kissan pay 0%tax due to agriculture income .so much difference in the same country… https://t.co/UxJjkycvS8
wesaidwhatnow,,"RT @NishigandhaDare: -No suicide note
- Missing Duplicate Key
- No small table
- CCTV camera footage missing
- Strangulation marks on neck…"
LeogirlRam,Caribbean,"RT @PiyaliBh: So, CBI When you are planning to come with your next statement from “probing all angle” to eliminating Suicide angle? It’s be…"
Skwalk4,,"RT @SansthaTrust: @aajtak @sardanarohit 
#JusticeforAllDSKFraudVictims

Appeal for Govt. intervention in Rs 2091 Cr fraud case by DSKulkarn…"
JhajhariaPriya,India,"RT @swati_gs: Exactly a year ago, a distressed Susheel, who had recently changed his religion and name from Saleem, sent me a Whatsapp vide…"
Panjanya3,,"RT @swati_gs: Exactly a year ago, a distressed Susheel, who had recently changed his religion and name from Saleem, sent me a Whatsapp vide…"
Skwalk4,,"RT @SansthaTrust: @ArnabGofficial7 @republic 
#JusticeforAllDSKFraudVictims

Appeal for Govt. intervention in Rs 2091 Cr fraud case by DSKu…"
Samora_SERI_,EGYPT ,"RT @Nupur90050071: @Samora_SERI_ I agree with you🙏
CBI Decode SSR Murder

@KanganaTeam mam🙏
Our Sushant sir was stressed by those blind art…"
Graven131982,Puerto Rico ,"RT @VoicingDragoon7: Still the biggest cocktease and dissapointment of the DC Cinematic Universe

Didn't even add Deathstroke in Suicide Sq…"
mukeshgarg23,"New Delhi, India","RT @swati_gs: Exactly a year ago, a distressed Susheel, who had recently changed his religion and name from Saleem, sent me a Whatsapp vide…"
Skwalk4,,"RT @SansthaTrust: @TimesNow @navikakumar @RShivshankar 
#JusticeforAllDSKFraudVictims

Appeal for Govt. intervention in Rs 2091 Cr fraud ca…"
mamamuse,Blighty,RT @CharlieWallerUK: Suicide is an issue that we must talk about and the pandemic has made this more important. At Charlie Waller we suppor…
kdholmwood,,"RT @legalfeminist: And: ""Another ‘reasonable concern’ is alarm at the increase in gender identity services for children, despite evidence t…"
laurter23_,she/her 19,"RT @jackbenedwards: not zoella's BOOK being dropped by schools because her BLOG spoke about self-pleasure?

of mice and men: themes of murd…"
SteveBrant,"New York, NY","RT @kelly2277: 🔥WHOA🔥Howard Liebengood, (the Capitol police officer that just died from suicide) father was associated with Paul Manafort.…"
Skwalk4,,"RT @SansthaTrust: @mataonline @timesofindia 
#JusticeforAllDSKFraudVictims

Appeal for Govt. intervention in Rs 2091 Cr fraud case by DSKul…"
rajput_justice,,"RT @ShikhaC95: After 13-14th june~ Why suddenly every bullyweedians became suicide specialist?

CBI Decode SSR Murder"
venunyekofiovo,My comfort zone,"RT @GhanaLive_: ‼️BREAKING NEWS‼️

Senior Police Commander commits suicide; shoots himself in his room.

The Jomoro Municipal Police Comman…"
BanarasiBakchod,गंगा जी के पावन तट पर,"RT @swati_gs: Exactly a year ago, a distressed Susheel, who had recently changed his religion and name from Saleem, sent me a Whatsapp vide…"
Skwalk4,,"RT @SansthaTrust: @IndianExpress @PTI_News @ANI 
#JusticeforAllDSKFraudVictims

Appeal for Govt. intervention in Rs 2091 Cr fraud case by D…"
tuliptopia,THEYTHEM.,"RT @yunabliss: tw // suicide , self harm

if you see a poll like this do not vote on it. never vote on a poll with no context. these kinds…"
Skwalk4,,"RT @SansthaTrust: @DDNewslive @DDSahyadri 
#JusticeforAllDSKFraudVictims

Appeal for Govt. intervention in Rs 2091 Cr fraud case by DSKulka…"
nikkijwalters,,RT @CarmelaStarr7: @LindaWesson @JesusNarrowWay They lived through a horrific attack for which they were inexperienced and untrained and th…
Skwalk4,,"RT @SansthaTrust: @SakalMediaNews @LoksattaLive 
#JusticeforAllDSKFraudVictims

Appeal for Govt. intervention in Rs 2091 Cr fraud case by D…"
YuvikaJain6, Earth,"RT @oishi_saarker: There is so much evidence in Sushant's murder that the fabricated Suicide story itself has died :3 

CBI Decode SSR Murd…"
BondHack,London,"""This week, Mr Black faced a public reckoning over his relationship with another man who committed suicide while aw… https://t.co/7qlxFnNafP"
lyon_shock,trench,"RT @PsychTimes: In custody or back in the community, individuals who have recently been arrested are at elevated risk for suicide. Why and…"
Skwalk4,,"RT @SansthaTrust: @indiatvnews @RajatSharmaLive 
#JusticeforAllDSKFraudVictims

Appeal for Govt. intervention in Rs 2091 Cr fraud case by D…"
SwiftyyStyle,,"RT @oishi_saarker: There is so much evidence in Sushant's murder that the fabricated Suicide story itself has died :3 

CBI Decode SSR Murd…"
londoner_007,london,RT @lpoolcouncil: Sergeant Antony Lorenzelli from @MerseyPolice talks about the 999 call that helped him come up the idea for suicide preve…
Views09,,"RT @GhanaLive_: ‼️BREAKING NEWS‼️

Senior Police Commander commits suicide; shoots himself in his room.

The Jomoro Municipal Police Comman…"
Covid19Lies,Earth,RT @Covid19Lies: @MichaelYeadon3 Watch this: it's quite disturbing. One girl talks about a student committing suicide. Children are paying…
Skwalk4,,"RT @SansthaTrust: @bbcnewsmarathi @TV9Marathi 
#JusticeforAllDSKFraudVictims

Appeal for Govt. intervention in Rs 2091 Cr fraud case by DSK…"
Kina95694987,,"RT @dbiggs0001: @LindaWesson 1) PTSD/Depression- short or long-term; 2) Survivor's Guilt; 3) ""Suicided""; 4) Suicide vs Exposure/Guilt/Collu…"
Su_shixxxx,"Manila City, National Capital ","RT @itsmemiorin: TW: IMPLIED SUICIDE
(1/6) A comic about trying to overcome being inseparable from your grief. https://t.co/Xt4ead50Rq"
Covid19Lies,Earth,@MichaelYeadon3 Watch this: it's quite disturbing. One girl talks about a student committing suicide. Children are… https://t.co/hP0vpKfGl8
jlb26_,,"RT @jackbenedwards: not zoella's BOOK being dropped by schools because her BLOG spoke about self-pleasure?

of mice and men: themes of murd…"
dallas_hawthorn,stolen Abenaki land,When your government's financial system causes people to commit suicide perhaps that means ITS NOT A GOOD FINANCIAL SYSTEM
jennyz_zayn,India,"RT @ApurvaU21: Many are trying make money off SSR! Sháme. Specially the so called ""YouTubers"".

Be Careful of those who Change their Narrat…"
Deshbha50649756,,"RT @Jerrythessrian: The person with such big ambitions can never commit Suicide!
A positive person like Sush can never commit Suicide!
Even…"
Tybird99,"Roebuck Springs, B'ham, AL","RT @askjillian: Just woke thinking about the officer that was murdered Jan 6, &amp; 5 others permanently damaged by brain injuries, one lost an…"
imNehaa_,Bangladesh,"RT @12_hiral: Why would a person not write a suicide not is he was going to commit suicide? 
CBI Decode SSR Murder"
ZoKinns,"Àrd-thìrean, Alba ","RT @therealSalTyre: TW/Suicide and Mental Illness

I wrote this song to promote discussions about #SuicideAwareness. 

For anyone feeling t…"
SaraIveacrow,,I'm too alive to contemplate suicide
TopShaggerVevo,Nineth Realm Asgard,@aiaf_its_ik @BoogiesMemes @KD_theFo0l How exactly have i “figured it out” if i simply dont give a shit about other… https://t.co/QoEQDQWfeK
vix_hodges,London,@JuliaHB1 I can. I had to let a friend know that last night her daughter had told her friends she was saying goodby… https://t.co/Mk93SPzF2K
Dobbiedogg,"England, United Kingdom",@IrvineWelsh Bojo's next target is 110k deaths when he are the world leader in vaccinations and controlling the vir… https://t.co/Gz4TIJvGbj
T0D0R0KISLITZ,Block don't report !,"RT @sliceybunnie: tw / talking about nsfw and suicide

i love you guys but if i see one more photo of food in someone's foreskin, i'm killi…"
w0rIdpr1ncess,check pinned :) ( ☂︎ ),SUICIDE SQUAD IS A BAD MOVIE
tropicalsocks,"Wales, United Kingdom",RT @OwenPaterson: My interview in @Telegraph on Rose’s suicide and my family's decision to set up The Rose Paterson Trust helping suicide p…
jagdishwari,"Vododara, India","RT @ApurvaU21: Many are trying make money off SSR! Sháme. Specially the so called ""YouTubers"".

Be Careful of those who Change their Narrat…"
DauntlessDoft,,"RT @rubythechargie: ""It's just an app"" but people have committed suicide due to cyber bullying"
Yurijedi,Dubai,"RT @swati_gs: Exactly a year ago, a distressed Susheel, who had recently changed his religion and name from Saleem, sent me a Whatsapp vide…"
hammedopeyemi00,"Federal Capital Territory, Nig","@Xahraddeen_ He done tired , that's why he committed suicide
Is not a murder"
backupDivyaiyer,Es Gole me kahin to,"RT @ApurvaU21: This ! 💯🙌

Guys please be careful of those who change their narratives too often ! 

Such people usually don't stand their g…"
Kina95694987,,RT @deblync76: @LindaWesson @WeatherGeek68 Was it suicide? Like Epstein? I’ll never believe he killed himself.
ranatouqeer,🇵🇰🇵🇰🇬🇧,"RT @kashmiri_sm: A new wave of terrorism gripped the entire country. Suicide bombings, IED blasts and terror storming targeted the security…"
